Country,Fatal,Year
USA,N,2018
USA,N,2018
USA,N,2018
AUSTRALIA,N,2018
MEXICO,N,2018
BRAZIL,Y,2018
USA,N,2018
USA,N,2018
USA,N,2018
AUSTRALIA,N,2018
USA,N,2018
USA,N,2018
UNITED KINGDOM,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
COSTA RICA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
SOUTH AFRICA,N,2018
USA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
BAHAMAS,N,2018
BRAZIL,N,2018
BAHAMAS,N,2018
SOUTH AFRICA,N,2018
USA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
SOUTH AFRICA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
BRAZIL,N,2018
ECUADOR,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
NEW CALEDONIA,N,2018
AUSTRALIA,N,2018
AUSTRALIA,N,2018
BRAZIL,N,2018
AUSTRALIA,N,2018
USA,N,2017
USA,N,2017
COSTA RICA,N,2017
COSTA RICA,Y,2017
USA,N,2017
USA,N,2017
AUSTRALIA,N,2017
CUBA,Y,2017
AUSTRALIA,N,2017
AUSTRALIA,N,2017
USA,N,2017
USA,N,2017
AUSTRALIA,N,2017
NEW ZEALAND,N,2017
USA,N,2017
USA,N,2017
USA,N,2017
SOUTH AFRICA,U,2017
USA,N,2017
AUSTRALIA,N,2017
USA,U,2017
USA,N,2017
SPAIN,N,2017
USA,N,2017
AUSTRALIA,N,2017
USA,N,2017
AUSTRALIA,N,2017
JAPAN,N,2017
USA,N,2017
USA,N,2017
AUSTRALIA,N,2017
USA,N,2017
SPAIN,U,2017
USA,N,2017
USA,N,2017
EGYPT,N,2017
USA,N,2017
USA,N,2017
USA,N,2017
USA,U,2017
SPAIN,N,2017
USA,N,2017
USA,U,2017
USA,N,2017
USA,N,2017
USA,N,2017
USA,N,2017
USA,N,2017
MEXICO,N,2017
SOUTH AFRICA,N,2017
USA,N,2017
USA,N,2017
REUNION,N,2017
SPAIN,N,2017
AUSTRALIA,N,2017
AUSTRALIA,N,2017
USA,N,2017
UNITED KINGDOM,N,2017
USA,N,2017
BAHAMAS,N,2017
USA,N,2017
USA,N,2017
AUSTRALIA,N,2017
AUSTRALIA,N,2017
MEXICO,Y,2017
USA,U,2017
SOUTH AFRICA,N,2017
USA,N,2017
REUNION,Y,2017
