Fatal,Year,ActivityType
N,1975,otros
N,1988,otros
U,2001,otros
N,2011,otros
N,1965,otros
N,1956,otros
Y,1959,otros
N,2012,otros
Y,1940,otros
N,1905,otros
N,1945,otros
Y,1911,otros
N,1910,otros
Y,1924,otros
N,1961,otros
Y,1965,otros
N,2004,otros
N,1949,otros
Y,1934,otros
Y,2017,otros
Y,1966,otros
N,1950,otros
Y,1966,otros
N,1960,otros
Y,1950,otros
Y,1986,deportes acuáticos
Y,2011,deportes acuáticos
N,1991,deportes acuáticos
N,1991,deportes acuáticos
Y,2011,deportes acuáticos
N,1993,deportes acuáticos
N,1964,deportes acuáticos
Y,2011,deportes acuáticos
Y,2012,deportes acuáticos
N,1994,deportes acuáticos
Y,2011,deportes acuáticos
N,1993,deportes acuáticos
N,2012,deportes acuáticos
N,2002,deportes acuáticos
Y,2006,deportes acuáticos
N,2015,deportes acuáticos
N,2006,deportes acuáticos
Y,2003,deportes acuáticos
Y,2013,deportes acuáticos
N,2004,deportes acuáticos
N,2013,deportes acuáticos
N,2004,deportes acuáticos
N,2004,deportes acuáticos
Y,1999,deportes acuáticos
N,2017,deportes acuáticos
Y,2017,deportes acuáticos
N,2013,deportes acuáticos
N,2006,deportes acuáticos
N,2007,deportes acuáticos
N,2017,deportes acuáticos
N,1998,deportes acuáticos
U,1956,embarcaciones
U,1954,embarcaciones
N,1937,embarcaciones
Y,1908,embarcaciones
N,1928,embarcaciones
N,1940,embarcaciones
N,2012,deportes acuáticos
N,1991,embarcaciones
N,2011,embarcaciones
N,1929,embarcaciones
N,2004,Actividades con tiburones
N,2013,pesca
N,1961,pesca
N,2018,pesca
Y,1958,pesca
N,1961,otros
N,1960,pesca
N,1958,pesca
N,2002,pesca
N,1961,pesca
N,1960,pesca
N,1976,otros
N,2006,otros
N,1955,otros
N,2000,Actividades con tiburones
N,1973,pesca
N,2012,pesca
N,1954,otros
N,1986,otros
N,1961,deportes acuáticos
N,1973,deportes acuáticos
Y,1972,deportes acuáticos
N,1962,deportes acuáticos
Y,1973,deportes acuáticos
N,1973,deportes acuáticos
N,1960,deportes acuáticos
N,2013,deportes acuáticos
N,1960,deportes acuáticos
Y,1961,deportes acuáticos
N,1961,deportes acuáticos
Y,2011,deportes acuáticos
N,2011,deportes acuáticos
Y,2011,deportes acuáticos
U,1967,deportes acuáticos
Y,1965,deportes acuáticos
Y,1966,deportes acuáticos
N,1964,deportes acuáticos
N,1964,deportes acuáticos
N,2010,deportes acuáticos
N,1971,deportes acuáticos
N,2011,deportes acuáticos
Y,2012,deportes acuáticos
N,1964,deportes acuáticos
N,1964,deportes acuáticos
N,2012,deportes acuáticos
N,2011,deportes acuáticos
Y,1964,deportes acuáticos
N,1969,deportes acuáticos
N,2011,deportes acuáticos
N,1970,deportes acuáticos
U,1975,deportes acuáticos
Y,1995,deportes acuáticos
N,1995,deportes acuáticos
Y,1996,deportes acuáticos
N,1996,deportes acuáticos
N,1996,deportes acuáticos
N,2007,deportes acuáticos
Y,1997,deportes acuáticos
U,1997,deportes acuáticos
Y,1995,deportes acuáticos
Y,1995,deportes acuáticos
N,1992,deportes acuáticos
Y,1992,deportes acuáticos
U,1992,deportes acuáticos
Y,2008,deportes acuáticos
N,1997,deportes acuáticos
Y,1993,deportes acuáticos
Y,1993,deportes acuáticos
Y,1995,deportes acuáticos
N,1992,deportes acuáticos
Y,2000,deportes acuáticos
N,2006,deportes acuáticos
N,2004,deportes acuáticos
N,2006,deportes acuáticos
N,2004,deportes acuáticos
N,2004,deportes acuáticos
N,2004,deportes acuáticos
N,2005,deportes acuáticos
N,2005,deportes acuáticos
N,2005,deportes acuáticos
N,2005,deportes acuáticos
