Country,Year,Activity_,RMovement
SOUTH AFRICA,1975,attempting,1
SOUTH AFRICA,1988,attempting,1
BRAZIL,2001,attempting,1
MEXICO,2011,attempting,1
BAHAMAS,1965,attempting,1
AUSTRALIA,1956,attempting,1
SOLOMON ISLANDS,1959,bathing,1
NIGERIA,2012,bathing,1
PANAMA,1940,bathing,1
PHILIPPINES,1905,bathing,1
PANAMA,1945,bathing,1
SOUTH AFRICA,1911,bathing,1
AUSTRALIA,1910,bathing,1
USA,1924,bathing,1
MOZAMBIQUE,1961,bathing,1
MEXICO,1965,bathing,1
BRAZIL,2004,bathing,1
AUSTRALIA,1949,bathing,1
AUSTRALIA,1934,bathing,1
CUBA,2017,bathing,1
PAPUA NEW GUINEA,1966,bathing,1
PANAMA,1950,bathing,1
PAPUA NEW GUINEA,1966,bathing,1
NICARAGUA ,1960,bathing,1
INDONESIA,1950,bending,1
SOUTH AFRICA,1986,boarding,2
NEW CALEDONIA,2011,boarding,2
AUSTRALIA,1991,boarding,2
USA,1991,boarding,2
REUNION,2011,boarding,2
BRAZIL,1993,boarding,2
SOUTH AFRICA,1964,boarding,2
AUSTRALIA,2011,boarding,2
SOUTH AFRICA,2012,boarding,2
SOUTH AFRICA,1994,boarding,2
REUNION,2011,boarding,2
REUNION,1993,boarding,2
REUNION,2012,boarding,2
USA,2002,boarding,2
BRAZIL,2006,boarding,2
SOUTH AFRICA,2015,boarding,2
REUNION,2006,boarding,2
SOUTH AFRICA,2003,boarding,2
REUNION,2013,boarding,2
REUNION,2004,boarding,2
FRENCH POLYNESIA,2013,boarding,2
AUSTRALIA,2004,boarding,2
BRAZIL,2004,boarding,2
SOUTH AFRICA,1999,boarding,2
REUNION,2017,boarding,2
REUNION,2017,boarding,2
REUNION,2013,boarding,2
AUSTRALIA,2006,boarding,2
REUNION,2007,boarding,2
AUSTRALIA,2017,boarding,2
SOUTH AFRICA,1998,boarding,2
ITALY,1956,boating,3
CROATIA,1954,boating,3
SCOTLAND,1937,boating,3
CROATIA,1908,boating,3
ITALY,1928,boating,3
SLOVENIA,1940,boating,3
AUSTRALIA,2012,bodyboarding,2
ITALY,1991,canoeing,3
REUNION,2011,canoeing,3
AUSTRALIA,1929,canoeing,3
SOUTH AFRICA,2004,chumming,1
BAHAMAS,2013,cleaning,1
USA,1961,cleaning,1
BRAZIL,2018,cleaning,1
AMERICAN SAMOA,1958,cleaning,1
MID ATLANTIC OCEAN,1961,climbing,1
PAPUA NEW GUINEA,1960,collecting,1
PAPUA NEW GUINEA,1958,collecting,1
PAPUA NEW GUINEA,2002,collecting,1
AUSTRALIA,1961,collecting,1
SRI LANKA,1960,collecting,1
SOUTH AFRICA,1976,competing,1
ATLANTIC OCEAN,2006,competing,1
AUSTRALIA,1955,competing,1
USA,2000,conducting,1
USA,1973,crabbing,1
AUSTRALIA,2012,crayfishing,1
PAPUA NEW GUINEA,1954,crouching,1
BAHAMAS,1986,ditching,1
PERSIAN GULF,1961,diving,1
PALAU,1973,diving,1
USA,1972,diving,1
ITALY,1962,diving,1
MEXICO,1973,diving,1
BAHAMAS,1973,diving,1
BERMUDA,1960,diving,1
SOUTH AFRICA,2013,diving,1
USA,1960,diving,1
SENEGAL,1961,diving,1
NORTH PACIFIC OCEAN,1961,diving,1
SEYCHELLES,2011,diving,1
REUNION,2011,diving,1
AUSTRALIA,2011,diving,1
ITALY,1967,diving,1
NEW GUINEA,1965,diving,1
NEW BRITAIN,1966,diving,1
AUSTRALIA,1964,diving,1
PANAMA,1964,diving,1
USA,2010,diving,1
BRITISH ISLES,1971,diving,1
BAHAMAS,2011,diving,1
AUSTRALIA,2012,diving,1
SOUTH AFRICA,1964,diving,1
SENEGAL,1964,diving,1
MEXICO,2012,diving,1
