Country,Area,Location,Activity,Age,Fatal?,Species,Year
USA,California,"Oceanside, San Diego County",Paddling,57,N,White shark,2018
USA,Georgia,"St. Simon Island, Glynn County",Standing,11,N,,2018
USA,Hawaii,"Habush, Oahu",Surfing,48,N,,2018
AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,,N,2 m shark,2018
MEXICO,Colima,La Ticla,Free diving,,N,"Tiger shark, 3m",2018
BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,18,Y,Tiger shark,2018
USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,52,N,"Lemon shark, 3'",2018
USA,Florida,"Cocoa Beach, Brevard  County",Walking,15,N,"Bull shark, 6'",2018
USA,Florida,"Daytona Beach, Volusia County",Standing,12,N,,2018
AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,32,N,Grey reef shark,2018
USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,10,N,,2018
USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,10,N,,2018
ENGLAND,Cornwall,Off Land's End,Fishing,21,N,Invalid incident,2018
AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,34,N,"Tawny nurse shark, 2m",2018
AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,,N,Shark involvement not confirmed,2018
COSTA RICA,Cocos Island,Manuelita,Scuba diving,30,N,Tiger shark,2018
AUSTRALIA,New South Wales,Lennox Head,Surfing,,N,Questionable,2018
AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,60,N,3 m shark,2018
AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,,N,"White shark, 3.5 m",2018
MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,32,N,Tiger shark,2018
SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,33,N,"White shark, 2.5 m",2018
USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,29,N,6' shark,2018
THAILAND,Hua Hin,Sai Noi Beach,Swimming,54,N,Juvenile bull shark,2018
AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,41,N,,2018
AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,37,N,,2018
BAHAMAS,New Providence,Nirvana Beach,Surfing,,N,Tiger shark,2018
BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,56,N,Shark involvement not confirmed,2018
BAHAMAS,,Bimini,Swimming,12,N,Bull shark,2018
SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,19,N,White shark,2018
USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,25,N,"Tiger shark, 12'",2018
AUSTRALIA,Western Australia,Waterman's Bay,Wading,10,N,Wobbegong shark,2018
AUSTRALIA,Victoria,Lorne,Swimming,69,N,3.5 m shark,2018
AUSTRALIA,Victoria,Winkipop,Surfing,18,N,1.8 m shark,2018
SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,38,N,Blacktip shark,2018
AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,55,N,"Juvenile white shark,  2.7 to 3.2 m",2018
AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,34,N,,2018
AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,35,N,"Bull shark, 2 m",2018
AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,,N,Possibly a wobbegong,2018
BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,46,N,"Injury believed caused by an eel, not a shark",2018
ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,45,N,Galapagos shark?,2018
AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,14,N,2m shark,2018
AUSTRALIA,Western Australia,Cone Bay,,18,N,Bull shark,2018
NEW CALEDONIA,,Nouville,Spearfishing,40s,N,"Bull shark, 3 m ",2018
AUSTRALIA,Queensland,Lizard Island,Diving,,N,Grey reef shark. 2 m,2018
AUSTRALIA,New South Wales,Martin Islet,Free diving,28,N,"White shark, 3.5 m",2018
BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,20,N,small shark,2018
AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,,N,Wobbegong shark?,2018
USA,Hawaii,"Hultin's Beach, Oahu",Surfing,54,N,Tiger shark,2017
USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,35,N,,2017
MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,24,N,Juvenile nurse shark,2017
COSTA RICA,Cocos Island,Manuelita,Scuba Diving,26,N,"Tiger shark, female",2017
COSTA RICA,Cocos Island,Manuelita,Scuba diving,49,Y,"Tiger shark, female",2017
